"","pt(i,t)","pt(i,t)","pt(i,t)","pt(i,t)","pt(i,t)","","","","","x: w/o MN","x: w/o MN","x: w/o MN","x: w/o MN","x: w/o MN","x: w/ MN","x: w/ MN","x: w/ MN","x: w/ MN","x: w/ MN"
"","0","1","2","3","4",">=1: no MHRC","Util: w/o MN","Util: w/ MN","Util_gap: =1: not equal","0","1","2","3","4","0","1","2","3","4","MN_lic: >=1: no MN","MN_lic2: >=1: no MN"
"1",0.07956,0.39063,0.25495,0.13950,0.13536,0.00,0.4206309887,0.4206309887,0.00,6.25,1.29,0.27,0.07,0.05,6.25,1.29,0.27,0.07,0.05,0.00,0.00
"2",0.11217,0.17514,0.42868,0.03360,0.25042,1.00,0.4099385328,0.4044728219,1.00,6.25,0.90,0.46,0.01,0.10,6.25,0.90,0.46,0.06,0.06,1.00,0.00
"3",0.28840,0.16722,0.28638,0.22024,0.03776,1.00,0.5334961721,0.5334961721,0.00,6.25,0.45,0.30,0.12,0.01,6.25,0.45,0.30,0.12,0.01,0.00,0.00
"4",0.29705,0.07407,0.11612,0.31061,0.20215,1.00,0.5081058550,0.5078668699,1.00,6.25,0.17,0.16,0.20,0.08,6.25,0.19,0.19,0.19,0.08,1.00,0.00
"5",0.22739,0.22217,0.08313,0.09489,0.37242,1.00,0.4704238191,0.4684446394,1.00,6.25,0.68,0.09,0.07,0.14,6.25,0.68,0.11,0.11,0.11,1.00,0.00
"6",0.29601,0.08223,0.23717,0.27641,0.10818,1.00,0.5185925161,0.5179751888,1.00,6.25,0.20,0.30,0.16,0.04,6.25,0.27,0.27,0.16,0.04,1.00,0.00
"7",0.05783,0.26294,0.08383,0.45664,0.13876,1.00,0.3679947638,0.3660681542,1.00,6.25,1.27,0.13,0.26,0.05,6.25,1.27,0.23,0.23,0.05,1.00,0.00
"8",0.10607,0.22043,0.26822,0.23316,0.17213,0.00,0.3895619371,0.3895619371,0.00,6.25,1.02,0.35,0.15,0.06,6.25,1.02,0.35,0.15,0.06,0.00,0.00
"9",0.33594,0.09566,0.25539,0.03784,0.27517,1.00,0.5568751520,0.5508912752,1.00,6.25,0.21,0.28,0.01,0.11,6.25,0.26,0.26,0.07,0.07,2.00,0.00
"10",0.07413,0.26288,0.22829,0.31346,0.12124,0.00,0.3803026734,0.3803026734,0.00,6.25,1.20,0.31,0.19,0.04,6.25,1.20,0.31,0.19,0.04,0.00,0.00
"11",0.27379,0.31301,0.25985,0.11756,0.03579,0.00,0.5546332664,0.5546332664,0.00,6.25,0.76,0.23,0.05,0.01,6.25,0.76,0.23,0.05,0.01,0.00,0.00
"12",0.04852,0.30348,0.25808,0.01492,0.37500,1.00,0.3809365255,0.3701647923,1.00,6.25,1.34,0.33,0.00,0.14,6.25,1.34,0.33,0.09,0.09,1.00,0.00
"13",0.04274,0.10318,0.30876,0.44068,0.10463,0.00,0.3371166173,0.3371166173,0.00,6.25,1.07,0.52,0.25,0.03,6.25,1.07,0.52,0.25,0.03,0.00,0.00
"14",0.01717,0.29425,0.31240,0.19580,0.18039,0.00,0.3555388778,0.3555388778,0.00,6.25,1.48,0.39,0.12,0.07,6.25,1.48,0.39,0.12,0.07,0.00,0.00
"15",0.12571,0.12746,0.06750,0.48282,0.19652,1.00,0.3794079973,0.3773278538,1.00,6.25,0.70,0.14,0.29,0.08,6.25,0.70,0.26,0.26,0.08,1.00,0.00
"16",0.38648,0.14802,0.06191,0.36945,0.03415,1.00,0.6134126383,0.6077367743,1.00,6.25,0.29,0.05,0.20,0.01,6.25,0.29,0.15,0.15,0.01,1.00,0.00
"17",0.17912,0.00449,0.23905,0.44320,0.13414,1.00,0.4298078985,0.4184628331,1.00,6.25,0.00,0.44,0.25,0.05,6.25,0.31,0.31,0.25,0.05,1.00,0.00
"18",0.08263,0.15687,0.15035,0.15281,0.45734,1.00,0.3433742113,0.3432993797,1.00,6.25,0.98,0.30,0.15,0.16,6.25,0.98,0.30,0.16,0.16,1.00,0.00
